dinheiro,caixa_mensal,despesas_fixas,despesas_variaveis,volatilidade,tolerancia,meses_protegidos,indice_folga,meses_reserva,reserva_pct,crescimento_pct,risco_pct,valida,prob_sobrev
362564.70816518355,38237.81996044019,30292.238124440515,6906.216803196737,0.14271449289072663,0.4026525432347682,6,1.0279410807471663,9.746767946961413,28.65,62.73,8.62,1.0,1.0
74997.43561292862,46090.62837621078,14735.259018495892,4454.00192046007,0.3714237350596675,0.17175654498475038,5,2.4018970049358477,3.908302453726966,74.5,24.18,1.31,1.0,1.0
230622.5691043257,60117.786281169836,16440.865267551148,5833.61492265754,0.32541612211540233,0.5237518213285821,4,2.69895350049947,10.35366783579092,9.95,75.9,14.15,1.0,1.0
272695.9403906945,18656.096298329612,29362.231121514003,20512.881405682558,0.23997564075398153,0.5523420351125222,3,0.37405622469837174,5.467575441398658,55.17,37.4,7.43,1.0,1.0
221433.0660347904,65681.05692613575,47577.09543202711,28909.32111420435,0.23568807975122147,0.8153691348137997,6,0.8587283846202349,2.8950639346654103,100.0,0.0,0.0,0.0,0.0
141277.0190599493,32902.74309344145,49819.02815358199,3398.2893065981825,0.14683788910927736,0.5919518197590602,10,0.6182713572148937,2.6547189111074556,100.0,0.0,0.0,0.0,0.0
166812.8308038906,12657.393086852859,48099.984883814745,21899.428029287265,0.21984246720549278,0.2981130152255317,7,0.18082141778197305,2.3830604266777744,100.0,0.0,0.0,0.0,0.0
340337.97930872254,13089.620506019652,27537.804863499765,5490.942504347552,0.3983787169554221,0.619525600250545,10,0.39630992844621404,10.304295694847735,100.0,0.0,0.0,0.0,0.0
496434.18549980136,14697.637078320799,48671.28338279481,13052.944206267317,0.055812616627542416,0.8704751180135247,4,0.2381177967292263,8.04277679754671,49.16,37.56,13.28,1.0,1.0
52432.99398758458,22943.647122359824,26033.098359385294,11951.338416956463,0.394134384337601,0.25538066757745864,5,0.6040275720673594,1.3803809780389313,100.0,0.0,0.0,0.0,0.0
